Unnamed: 0,ID,Date,<HIGH>,<LOW>,<OPEN>,<CLOSE>,<VOL>,Adj Close,emv,emv_ema_14,acc_dist,acc_dist_ema21,obv,obv_ema21,pvt,pvt_ema21,atr,bol_bands_middle,bol_bands_upper,bol_bands_lower,google news,Wikki hits,Sector
37935,HDFC,2010-02-17 00:00:00,139.3500061035,128.3000030518,131.1999969482,136.4199981689,5685510,128.091293335,1231.2324403816,-283.1584330008,2670381.52735601,273303.499901068,6373215435,6365579662.24133,287179485.538533,286706501.023837,8.0783918446,164.1434699701,242.3078159928,85.9791239475,8,,Bank
37936,HDFC,2010-02-18 00:00:00,137.8000030518,130,130,133.6300048828,7141980,125.4716339111,8.1906757672,-263.7351590829,-494438.428306192,238406.139528011,6366073455,6365602107.36672,287033421.350605,286721361.03869,8.0598325917,162.6904478231,237.4437227106,87.9371729357,16,,Bank
37937,HDFC,2010-02-19 00:00:00,135.9799957275,130.1000061035,132.8000030518,131.0599975586,3058535,123.0585174561,-165.3338825785,-257.1750739826,-2059836.82098914,133940.550413594,6363014920,6365484507.94096,286974598.802792,286732871.846149,7.9145097272,161.1842359058,232.3243011729,90.0441706387,14,,Bank
37938,HDFC,2010-02-22 00:00:00,133.3399963379,128.6799926758,131.9799957275,129.6100006104,1931730,121.6970596313,-489.7080491895,-272.6772723297,-1160690.16496504,75093.6997145659,6361083190,6365284448.03455,286953226.891782,286742887.984587,7.6975426562,159.6807008917,227.2512792754,92.110122508,13,,Bank
37939,HDFC,2010-02-23 00:00:00,131.2400054932,128.6000061035,128.6000061035,129.8099975586,2220280,121.8848495483,-129.6039024426,-263.1390476706,-185037.235615361,63269.5662904782,6363303470,6365194403.57844,286956652.933153,286752604.573158,7.3603731051,158.2582864473,222.5420617504,93.9745111441,13,,Bank
37940,HDFC,2010-02-24 00:00:00,131.1000061035,127.1999969482,129.1999969482,127.9400024414,1295395,120.1290130615,-231.8230124555,-261.0513119896,-803806.70999763,23857.0082773824,6362008075,6365049570.46124,286937991.948866,286761031.272054,7.1296821751,156.8145586375,217.5800870324,96.0490302425,14,,Bank
37941,HDFC,2010-02-25 00:00:00,134.5399932861,128.4299926758,128.4299926758,133.5500030518,6303470,125.3965148926,226.3324679215,-228.5590599955,4260794.6745333,216445.084016288,6368311545,6365197842.03118,287214390.806709,286781638.523629,7.0943694198,155.7067226572,213.455507469,97.9579378454,13,,Bank
37942,HDFC,2010-02-26 00:00:00,136.1999969482,132.2200012207,134,134.7700042725,2091610,126.5420227051,518.5246125956,-178.7534818228,588599.853584458,233361.20990575,6370403155,6365434447.16612,287233498.00772,286802177.591088,6.8867445069,154.7097360674,208.7289121781,100.6905599568,8,,Bank
37943,HDFC,2010-03-02 00:00:00,138.5800018311,132.6999969482,134,137.5200042725,2009720,129.1241149902,418.3870776455,-138.9441111916,1285129.34542961,281168.852429562,6372412875,6365751648.4313,287274506.613676,286823647.092115,6.819628532,153.8911774105,204.3960728571,103.386281964,14,,Bank
37944,HDFC,2010-03-03 00:00:00,144.7700042725,134.8000030518,137.6000061035,142.9199981689,6396450,134.1944732666,646.0723941601,-86.6096775014,4022634.53521153,451235.474374197,6378809325,6366345179.18442,287525675.824599,286855557.489046,7.0296533779,153.3687403038,200.9304003491,105.8070802585,12,,Bank
37945,HDFC,2010-03-04 00:00:00,144.3300018311,141.5,142.8000030518,142.9900054932,1585250,134.2601928711,558.7697813196,-43.5843802467,84028.9256309747,434544.267613142,6380394575,6366983788.08513,287526452.336719,286886052.709395,6.7496766081,152.8745148366,197.6974161381,108.0516135352,11,,Bank
37946,HDFC,2010-03-05 00:00:00,147.3999938965,142.4199981689,143.9400024414,143.3800048828,2088575,134.6264038086,475.6863967085,-8.9663284497,-1283334.94273353,356458.84896102,6382483150,6367688304.53581,287532148.839579,286915420.715312,6.6316978827,152.422395315,194.8272100823,110.0175805478,11,,Bank
37947,HDFC,2010-03-08 00:00:00,147.3000030518,142.7799987793,142.7799987793,146.6999969482,2998275,137.7436676025,19.5986901053,-7.0619938794,2202265.44267325,440359.148675213,6385481425,6368497082.73872,287601574.483818,286946609.522971,6.4909183087,152.1499001547,193.0724018124,111.227398497,10,,Bank
37948,HDFC,2010-03-09 00:00:00,147.1999969482,142.3999938965,146.6999969482,143.0800018311,2887980,134.3446655273,-39.890411278,-9.2505550393,-2069709.97237525,326265.097718373,6382593445,6369137826.47787,287530310.177642,286973141.370911,6.3781906249,151.7180002345,190.6037171378,112.8322833313,10,,Bank
37949,HDFC,2010-03-10 00:00:00,143.7299957275,139.6000061035,143.1999969482,142.0099945068,2456645,133.3399963379,-527.0397141061,-43.7698323104,410425.622471486,330090.576116242,6380136800,6369637779.81979,287511938.440785,286997632.146814,6.2283105582,151.2557142475,187.872329611,114.639098884,5,,Bank
37950,HDFC,2010-03-11 00:00:00,142.7799987793,137.3000030518,141.9600067139,138.6000061035,3215010,130.1381988525,-276.9818152121,-59.3172978372,-1689635.52190387,238284.844388055,6376921790,6369968871.19162,287434738.615135,287017500.622647,6.1784229028,150.6530614787,185.1145938911,116.1915290664,15,,Bank
37951,HDFC,2010-03-12 00:00:00,141.3000030518,136.4600067139,139.4600067139,139.8600006104,4587100,131.3212738037,-122.3949020145,-63.522471449,1857579.25748909,311889.135892648,6381508890,6370493417.50109,287476439.340588,287038361.473463,6.0891944652,150.1391061993,182.5669310502,117.7112813484,13,,Bank
37952,HDFC,2010-03-15 00:00:00,141.8999938965,139.3999938965,140,140.3099975586,3691730,131.7438201904,119.8617595052,-51.2968560521,-1004139.74438468,252069.641334587,6385200620,6371161926.70558,287488317.413135,287058814.016175,5.8499148342,149.6710534069,180.0429227487,119.299184065,12,,Bank
37953,HDFC,2010-03-16 00:00:00,145.6000061035,138,142.8000030518,144.0899963379,4313620,135.2930145264,202.6158214951,-34.3693442156,2599513.92258981,358771.654118916,6389514240,6371996122.76442,287604527.794563,287083619.18792,5.9665875854,149.4052887845,178.0077657498,120.8028118192,11,,Bank
37954,HDFC,2010-03-17 00:00:00,145.3399963379,142.3300018311,144.6799926758,143.1000061035,2894280,134.3634796143,211.6356012516,-17.9690145178,-1413474.66255709,278215.003360915,6386619960,6372660842.63877,287584642.243807,287106392.963187,5.7694813802,149.1050372283,175.5399914974,122.6700829592,12,,Bank
37955,HDFC,2010-03-18 00:00:00,144.9799957275,138.0200042725,138.0200042725,142.5700073242,1602495,133.8658599854,-1014.1419271539,-84.3805420268,492725.141428978,287965.464182191,6385017465,6373222507.29155,287578707.091064,287127861.787182,5.8488487185,148.7938453281,172.9092915869,124.6783990693,11,,Bank
