date,TCS,overlap
2011-08-05,34.0,
2011-08-06,29.0,
2011-08-07,31.0,
2011-08-08,40.0,
2011-08-09,30.0,
2011-08-10,34.0,
2011-08-11,30.0,
2011-08-12,32.0,
2011-08-13,28.0,
2011-08-14,25.0,
2011-08-15,23.0,
2011-08-16,27.0,
2011-08-17,28.0,
2011-08-18,36.0,
2011-08-19,37.0,
2011-08-20,35.0,
2011-08-21,31.0,
2011-08-22,30.0,
2011-08-23,35.0,
2011-08-24,36.0,
2011-08-25,34.0,
2011-08-26,35.0,
2011-08-27,34.0,
2011-08-28,30.0,
2011-08-29,34.0,
2011-08-30,35.0,
2011-08-31,27.0,1.0
2011-09-01,30.0,1.0
2011-09-02,32.0,1.0
2011-09-03,26.0,1.0
2011-09-04,26.0,1.0
2011-09-05,35.0,1.0
2011-09-06,32.0,1.0
2011-09-07,32.0,1.0
2011-09-08,34.0,1.0
2011-09-09,36.0,1.0
2011-09-10,30.0,1.0
2011-09-11,27.0,1.0
2011-09-12,34.0,1.0
2011-09-13,32.0,1.0
2011-09-14,34.0,1.0
2011-09-15,36.0,1.0
2011-09-16,36.0,1.0
2011-09-17,30.0,1.0
2011-09-18,29.0,1.0
2011-09-19,34.0,1.0
2011-09-20,31.0,1.0
2011-09-21,31.0,1.0
2011-09-22,30.0,1.0
2011-09-23,29.0,1.0
2011-09-24,30.0,1.0
2011-09-25,19.0,1.0
2011-09-26,28.0,1.0
2011-09-27,29.0,1.0
2011-09-28,30.0,1.0
2011-09-29,24.0,1.0
2011-09-30,29.0,1.0
2011-10-01,22.0,1.0
2011-10-02,19.0,1.0
2011-10-03,28.0,1.0
2011-10-04,25.0,1.0
2011-10-05,22.0,1.0
2011-10-06,22.0,1.0
2011-10-07,27.0,1.0
2011-10-08,26.0,1.0
2011-10-09,20.0,1.0
2011-10-10,30.0,1.0
2011-10-11,27.0,1.0
2011-10-12,28.0,1.0
2011-10-13,30.0,1.0
2011-10-14,26.0,1.0
2011-10-15,23.0,1.0
2011-10-16,25.0,1.0
2011-10-17,38.0,1.0
2011-10-18,30.0,1.0
2011-10-19,27.0,1.0
2011-10-20,27.0,1.0
2011-10-21,22.0,1.0
2011-10-22,20.0,1.0
2011-10-23,16.0,1.0
2011-10-24,21.0,1.0
2011-10-25,18.0,1.0
2011-10-26,17.0,1.0
2011-10-27,21.0,1.0
2011-10-28,19.0,1.0
2011-10-29,19.0,1.0
2011-10-30,14.0,1.0
2011-10-31,24.0,1.0
2011-11-01,26.0,1.0
2011-11-02,24.0,1.0
2011-11-03,25.0,1.0
2011-11-04,26.0,1.0
