date,TECHM,overlap
2010-11-23,27.0,1.0
2010-11-24,0.0,1.0
2010-11-25,0.0,1.0
2010-11-26,0.0,1.0
2010-11-27,0.0,1.0
2010-11-28,0.0,1.0
2010-11-29,0.0,1.0
2010-11-30,20.0,1.0
2010-12-01,21.0,1.0
2010-12-02,48.0,1.0
2010-12-03,22.0,1.0
2010-12-04,0.0,1.0
2010-12-05,0.0,1.0
2010-12-06,0.0,1.0
2010-12-07,0.0,1.0
2010-12-08,49.0,1.0
2010-12-09,0.0,1.0
2010-12-10,22.0,1.0
2010-12-11,27.0,1.0
2010-12-12,0.0,1.0
2010-12-13,0.0,1.0
2010-12-14,21.0,1.0
2010-12-15,22.0,1.0
2010-12-16,28.0,1.0
2010-12-17,23.0,1.0
2010-12-18,27.0,1.0
2010-12-19,0.0,1.0
2010-12-20,0.0,1.0
2010-12-21,49.0,1.0
2010-12-22,0.0,1.0
2010-12-23,0.0,1.0
2010-12-24,37.0,1.0
2010-12-25,0.0,1.0
2010-12-26,0.0,1.0
2010-12-27,0.0,1.0
2010-12-28,0.0,1.0
2010-12-29,0.0,1.0
2010-12-30,0.0,1.0
2010-12-31,0.0,1.0
2011-01-01,0.0,1.0
2011-01-02,0.0,1.0
2011-01-03,22.0,1.0
2011-01-04,21.0,1.0
2011-01-05,0.0,1.0
2011-01-06,0.0,
2011-01-07,0.0,
2011-01-08,0.0,
2011-01-09,0.0,
2011-01-10,0.0,
2011-01-11,51.0,
2011-01-12,0.0,
2011-01-13,0.0,
2011-01-14,0.0,
2011-01-15,0.0,
2011-01-16,0.0,
2011-01-17,0.0,
2011-01-18,0.0,
2011-01-19,50.0,
2011-01-20,0.0,
2011-01-21,0.0,
2011-01-22,0.0,
2011-01-23,0.0,
2011-01-24,0.0,
2011-01-25,0.0,
2011-01-26,50.0,
2011-01-27,0.0,
2011-01-28,53.0,
2011-01-29,0.0,
2011-01-30,60.0,
2011-01-31,0.0,
2011-02-01,0.0,
2011-02-02,0.0,
2011-02-03,0.0,
2011-02-04,0.0,
2011-02-05,0.0,
2011-02-06,0.0,
2011-02-07,0.0,
2011-02-08,0.0,
2011-02-09,0.0,
2011-02-10,0.0,
2011-02-11,53.0,
2011-02-12,0.0,
2011-02-13,0.0,
2011-02-14,50.0,
2011-02-15,0.0,
2011-02-16,0.0,
2011-02-17,0.0,
2011-02-18,51.0,
2011-02-19,0.0,
2011-02-20,0.0,
2011-02-21,98.0,
2011-02-22,0.0,
2011-02-23,49.0,
2011-02-24,0.0,
2011-02-25,0.0,
2011-02-26,0.0,
2011-02-27,60.0,
2011-02-28,0.0,
2011-03-01,0.0,
2011-03-02,0.0,
2011-03-03,0.0,
2011-03-04,0.0,
2011-03-05,0.0,
2011-03-06,0.0,
2011-03-07,0.0,
2011-03-08,0.0,
2011-03-09,0.0,
2011-03-10,0.0,
2011-03-11,0.0,
2011-03-12,0.0,
2011-03-13,61.0,
2011-03-14,0.0,
2011-03-15,0.0,1.0
2011-03-16,16.0,1.0
2011-03-17,0.0,1.0
2011-03-18,26.0,1.0
2011-03-19,0.0,1.0
2011-03-20,0.0,1.0
2011-03-21,16.0,1.0
2011-03-22,0.0,1.0
2011-03-23,16.0,1.0
2011-03-24,33.0,1.0
2011-03-25,17.0,1.0
2011-03-26,0.0,1.0
2011-03-27,50.0,1.0
2011-03-28,40.0,1.0
2011-03-29,39.0,1.0
2011-03-30,16.0,1.0
2011-03-31,73.0,1.0
2011-04-01,17.0,1.0
2011-04-02,0.0,1.0
2011-04-03,20.0,1.0
2011-04-04,15.0,1.0
2011-04-05,0.0,1.0
2011-04-06,41.0,1.0
2011-04-07,16.0,1.0
2011-04-08,17.0,1.0
2011-04-09,0.0,1.0
2011-04-10,0.0,1.0
2011-04-11,40.0,1.0
2011-04-12,0.0,1.0
2011-04-13,0.0,1.0
2011-04-14,25.0,1.0
2011-04-15,26.0,1.0
2011-04-16,0.0,1.0
2011-04-17,0.0,1.0
2011-04-18,0.0,1.0
2011-04-19,0.0,1.0
2011-04-20,0.0,1.0
2011-04-21,18.0,1.0
2011-04-22,0.0,1.0
2011-04-23,0.0,1.0
2011-04-24,0.0,1.0
2011-04-25,18.0,1.0
2011-04-26,0.0,1.0
2011-04-27,0.0,1.0
2011-04-28,0.0,1.0
2011-04-29,0.0,1.0
2011-04-30,0.0,1.0
2011-05-01,0.0,1.0
2011-05-02,24.0,1.0
2011-05-03,0.0,1.0
2011-05-04,0.0,1.0
2011-05-05,0.0,1.0
2011-05-06,0.0,1.0
2011-05-07,0.0,1.0
2011-05-08,0.0,1.0
2011-05-09,0.0,1.0
2011-05-10,24.0,1.0
2011-05-11,16.0,1.0
2011-05-12,0.0,1.0
2011-05-13,17.0,1.0
2011-05-14,0.0,1.0
2011-05-15,19.0,1.0
2011-05-16,0.0,1.0
2011-05-17,16.0,1.0
2011-05-18,16.0,1.0
2011-05-19,32.0,1.0
2011-05-20,43.0,1.0
2011-05-21,52.0,1.0
2011-05-22,0.0,1.0
2011-05-23,23.0,1.0
2011-05-24,0.0,1.0
2011-05-25,24.0,1.0
2011-05-26,16.0,1.0
2011-05-27,26.0,1.0
2011-05-28,20.0,1.0
2011-05-29,0.0,1.0
2011-05-30,0.0,1.0
2011-05-31,0.0,1.0
2011-06-01,0.0,1.0
2011-06-02,25.0,1.0
2011-06-03,17.0,1.0
2011-06-04,0.0,1.0
2011-06-05,0.0,1.0
2011-06-06,0.0,1.0
2011-06-07,39.0,1.0
2011-06-08,16.0,1.0
2011-06-09,24.0,1.0
2011-06-10,58.0,1.0
2011-06-11,31.0,1.0
2011-06-12,0.0,1.0
2011-06-13,0.0,1.0
2011-06-14,15.0,1.0
2011-06-15,16.0,1.0
2011-06-16,48.0,1.0
2011-06-17,26.0,1.0
2011-06-18,51.0,1.0
2011-06-19,20.0,1.0
2011-06-20,15.0,1.0
2011-06-21,24.0,1.0
2011-06-22,24.0,1.0
2011-06-23,0.0,1.0
2011-06-24,0.0,
2011-06-25,0.0,
2011-06-26,0.0,
2011-06-27,32.0,
2011-06-28,0.0,
2011-06-29,0.0,
2011-06-30,32.0,
2011-07-01,0.0,
2011-07-02,0.0,
2011-07-03,0.0,
2011-07-04,0.0,
2011-07-05,32.0,
2011-07-06,32.0,
2011-07-07,0.0,
2011-07-08,0.0,
2011-07-09,0.0,
2011-07-10,0.0,
2011-07-11,0.0,
2011-07-12,0.0,
2011-07-13,32.0,
2011-07-14,33.0,
2011-07-15,51.0,
2011-07-16,0.0,
2011-07-17,0.0,
2011-07-18,32.0,
2011-07-19,0.0,
2011-07-20,32.0,
2011-07-21,33.0,
2011-07-22,0.0,
2011-07-23,0.0,
2011-07-24,0.0,
2011-07-25,32.0,
2011-07-26,32.0,
2011-07-27,0.0,
2011-07-28,0.0,
2011-07-29,0.0,
2011-07-30,0.0,
2011-07-31,0.0,
2011-08-01,0.0,
2011-08-02,65.0,
