date,MARUTI,overlap
2010-11-18,34.0,1.0
2010-11-19,31.0,1.0
2010-11-20,35.0,1.0
2010-11-21,29.0,1.0
2010-11-22,35.0,1.0
2010-11-23,36.0,1.0
2010-11-24,31.0,1.0
2010-11-25,33.0,1.0
2010-11-26,34.0,1.0
2010-11-27,35.0,1.0
2010-11-28,30.0,1.0
2010-11-29,35.0,1.0
2010-11-30,31.0,1.0
2010-12-01,30.0,1.0
2010-12-02,35.0,1.0
2010-12-03,36.0,1.0
2010-12-04,33.0,1.0
2010-12-05,31.0,1.0
2010-12-06,34.0,1.0
2010-12-07,33.0,1.0
2010-12-08,32.0,1.0
2010-12-09,31.0,1.0
2010-12-10,37.0,1.0
2010-12-11,49.0,1.0
2010-12-12,37.0,1.0
2010-12-13,35.0,1.0
2010-12-14,37.0,1.0
2010-12-15,33.0,1.0
2010-12-16,40.0,1.0
2010-12-17,39.0,1.0
2010-12-18,45.0,1.0
2010-12-19,41.0,1.0
2010-12-20,39.0,1.0
2010-12-21,39.0,1.0
2010-12-22,40.0,1.0
2010-12-23,43.0,1.0
2010-12-24,44.0,1.0
2010-12-25,38.0,1.0
2010-12-26,40.0,1.0
2010-12-27,38.0,1.0
2010-12-28,38.0,1.0
2010-12-29,41.0,1.0
2010-12-30,44.0,1.0
2010-12-31,36.0,1.0
2011-01-01,34.0,1.0
2011-01-02,34.0,1.0
2011-01-03,39.0,1.0
2011-01-04,34.0,1.0
2011-01-05,33.0,1.0
2011-01-06,36.0,
2011-01-07,34.0,
2011-01-08,35.0,
2011-01-09,38.0,
2011-01-10,41.0,
2011-01-11,31.0,
2011-01-12,31.0,
2011-01-13,31.0,
2011-01-14,31.0,
2011-01-15,34.0,
2011-01-16,39.0,
2011-01-17,37.0,
2011-01-18,40.0,
2011-01-19,34.0,
2011-01-20,43.0,
2011-01-21,39.0,
2011-01-22,38.0,
2011-01-23,33.0,
2011-01-24,33.0,
2011-01-25,36.0,
2011-01-26,27.0,
2011-01-27,34.0,
2011-01-28,37.0,
2011-01-29,40.0,
2011-01-30,38.0,
2011-01-31,37.0,
2011-02-01,41.0,
2011-02-02,46.0,
2011-02-03,49.0,
2011-02-04,51.0,
2011-02-05,43.0,
2011-02-06,37.0,
2011-02-07,37.0,
2011-02-08,41.0,
2011-02-09,38.0,
2011-02-10,35.0,
2011-02-11,35.0,
2011-02-12,39.0,
2011-02-13,27.0,
2011-02-14,35.0,
2011-02-15,34.0,
2011-02-16,37.0,
2011-02-17,36.0,
2011-02-18,35.0,
2011-02-19,33.0,
2011-02-20,36.0,
2011-02-21,32.0,
2011-02-22,36.0,
2011-02-23,39.0,
2011-02-24,41.0,
2011-02-25,36.0,
2011-02-26,34.0,
2011-02-27,31.0,
2011-02-28,39.0,
2011-03-01,36.0,
2011-03-02,31.0,
2011-03-03,34.0,
2011-03-04,34.0,
2011-03-05,39.0,
2011-03-06,28.0,
2011-03-07,37.0,
2011-03-08,37.0,
2011-03-09,30.0,
2011-03-10,37.0,
2011-03-11,28.0,
2011-03-12,43.0,
2011-03-13,38.0,
2011-03-14,39.0,
2011-03-15,34.0,1.0
2011-03-16,34.0,1.0
2011-03-17,36.0,1.0
2011-03-18,33.0,1.0
2011-03-19,38.0,1.0
2011-03-20,30.0,1.0
2011-03-21,35.0,1.0
2011-03-22,38.0,1.0
2011-03-23,33.0,1.0
2011-03-24,31.0,1.0
2011-03-25,37.0,1.0
2011-03-26,41.0,1.0
2011-03-27,30.0,1.0
2011-03-28,41.0,1.0
2011-03-29,36.0,1.0
2011-03-30,29.0,1.0
2011-03-31,29.0,1.0
2011-04-01,31.0,1.0
2011-04-02,30.0,1.0
2011-04-03,27.0,1.0
2011-04-04,35.0,1.0
2011-04-05,35.0,1.0
2011-04-06,35.0,1.0
